Material ID,Formula,Transition Metal Group,Crystal System,Space Group,Total Magnetization (μB),Magnetization per Atom (µB/atom),Num Atoms,Is Stable
mp-568722,CdBr2,Cd,Trigonal,R-3m,0.0,0.0,6,True
mp-973976,LuBr,Lu,Hexagonal,P6_3mc,0.0002967,7.4175e-05,4,False
mp-866214,LuBr3,Lu,Hexagonal,P6_3/mmc,0.0,0.0,8,True
mp-27857,PdBr2,Pd,Monoclinic,C2/c,0.0,0.0,24,True
mp-974371,Rh3Br,Rh,Tetragonal,I4/mmm,2.0212086,0.50530215,4,False
mp-1186908,RhBr,Rh,Hexagonal,P6_3mc,0.0003647,9.1175e-05,4,False
mp-27871,RhBr3,Rh,Monoclinic,C2/m,0.0,0.0,8,True
mp-22892,RuBr3,Ru,Hexagonal,P6_3/mcm,0.864902,0.10811275,8,True
mp-23294,RuBr3,Ru,Orthorhombic,Pmmn,1.7320451,0.10825281875,16,False
mp-568753,TcBr3,Tc,Orthorhombic,Pmmn,4.0019368,0.25012105,16,True
mp-1205299,TcBr3,Tc,Hexagonal,P6_3/mcm,3.9999343,0.4999917875,8,False
mp-570480,TcBr4,Tc,Orthorhombic,Pbca,24.000065,0.600001625,40,True
mp-1059765,CoBr,Co,Hexagonal,P6/mmm,2.0247623,1.01238115,2,False
mp-30033,CoBr2,Co,Trigonal,P-3m1,3.0043052,1.0014350666666667,3,True
mp-567624,CrBr2,Cr,Monoclinic,C2/m,3.9994112,1.3331370666666666,3,False
mp-1183765,CrBr2,Cr,Tetragonal,P4_2/mnm,7.9998267,1.33330445,6,False
mp-27734,CrBr3,Cr,Trigonal,R-3,17.9999994,0.749999975,24,True
mp-22880,FeBr2,Fe,Trigonal,P-3m1,4.0,1.3333333333333333,3,True
mp-23232,FeBr3,Fe,Trigonal,R-3,10.0000001,1.2500000125,8,True
mp-1185951,Mn3Br,Mn,Tetragonal,I4/mmm,12.3995707,3.099892675,4,False
mp-28306,MnBr2,Mn,Trigonal,P-3m1,4.9999999,1.6666666333333333,3,True
mp-569843,MnBr2,Mn,Trigonal,R-3m,5.0000001,1.6666667000000002,3,False
mp-571084,MnBr2,Mn,Cubic,Fd-3m,20.0000009,1.6666667416666667,12,False
mp-862565,ScBr2,Sc,Tetragonal,P4_2/mnm,2.0003274,0.3333879,6,False
mp-1186984,ScBr3,Sc,Hexagonal,P6_3/mmc,0.0,0.0,8,True
mp-971768,Ti3Br,Ti,Hexagonal,P6_3/mmc,0.0134709,0.0016838625,8,False
mp-540672,Ti7Br16,Ti,Orthorhombic,Pnnm,8.0132036,0.17420007826086958,46,True
mp-27785,TiBr2,Ti,Trigonal,P-3m1,2.0,0.6666666666666666,3,False
mp-28214,TiBr3,Ti,Triclinic,P-1,2.0000001,0.2500000125,8,True
mp-571065,TiBr3,Ti,Trigonal,R-3,1.9999999,0.2499999875,8,False
mp-27634,TiBr4,Ti,Monoclinic,P2_1/c,0.0,0.0,20,False
mp-569814,TiBr4,Ti,Cubic,Pa-3,0.0,0.0,40,True
mp-1187734,V3Br,V,Tetragonal,I4/mmm,0.0019679,0.000491975,4,False
mp-971787,VBr2,V,Trigonal,P-3m1,2.9999998,0.9999999333333333,3,True
mp-865473,VBr3,V,Hexagonal,P6_3/mmc,3.9975354,0.499691925,8,True
mp-1546306,VBr3,V,Orthorhombic,Cmcm,3.9999997,0.4999999625,8,False
mp-2757308,VBr3,V,Orthorhombic,Ama2,4.0000005,0.5000000625,8,True
mp-984614,Au3Br,Au,Tetragonal,I4/mmm,8.85e-05,2.2125e-05,4,False
mp-1183348,Au3Br,Au,Hexagonal,P6_3/mmc,0.0002427,3.03375e-05,8,False
mp-505366,AuBr,Au,Tetragonal,P4_2/ncm,0.0,0.0,8,True
mp-570140,AuBr,Au,Tetragonal,I4_1/amd,0.0,0.0,8,False
mp-1214775,AuBr2,Au,Tetragonal,P4_2/mmc,0.0022516,0.00037526666666666666,6,False
mp-27213,AuBr3,Au,Monoclinic,P2_1/c,0.0,0.0,32,True
mp-23177,HgBr,Hg,Tetragonal,I4/mmm,0.0,0.0,4,True
mp-23292,HgBr2,Hg,Orthorhombic,Cmc2_1,0.0,0.0,6,True
mp-571558,HgBr2,Hg,Trigonal,P3,0.0025061,0.00027845555555555554,9,False
mp-2038287,HgBr2,Hg,Trigonal,P-3m1,0.0,0.0,9,False
mp-1184720,HgBr3,Hg,Hexagonal,P6_3/mmc,0.3104181,0.0388022625,8,False
mp-1184661,Hf3I,Hf,Hexagonal,P6_3/mmc,0.0007671,9.58875e-05,8,False
mp-568002,HfI3,Hf,Hexagonal,P6_3/mcm,0.0,0.0,8,True
mp-567273,HfI4,Hf,Cubic,Pa-3,0.0,0.0,40,False
mp-569059,HfI4,Hf,Monoclinic,C2/c,0.0,0.0,20,True
mp-1184756,IrI,Ir,Hexagonal,P6_3mc,0.000159,3.975e-05,4,False
mp-1025442,IrI3,Ir,Monoclinic,C2/m,0.0,0.0,8,True
mp-28320,Pt3I8,Pt,Tetragonal,P4_12_12,0.0,0.0,44,True
mp-704718,Pt3I8,Pt,Tetragonal,P4_32_12,0.0001219,2.770454545454545e-06,44,False
mp-28319,PtI2,Pt,Monoclinic,P2_1/c,0.0,0.0,12,True
mp-28268,PtI3,Pt,Monoclinic,C2/c,0.0,0.0,16,True
mp-669496,PtI4,Pt,Orthorhombic,Pbca,0.0,0.0,40,True
mp-573815,ReI3,Re,Monoclinic,P2_1/m,0.0,0.0,24,True
